shift,r2,rmse,spearman_rho
-5,-0.45076646923463204,1.376070026899006,0.5060889182095294
-3,-0.039755476359489395,1.1649502765653967,0.5435133831775351
-2,-0.06056641645404137,1.1765508880506492,0.5268457547749708
-1,0.20201747057068176,1.0205598348005485,0.5634742545881615
0,0.4719829402954321,0.830167558263335,0.7326401046106049
1,0.28812136178586023,0.9639283669389154,0.6024405416269234
2,-0.06841858777110543,1.1808983019183263,0.44927685314585103
3,-0.08596204832672649,1.1905540167045816,0.46396711906367955
5,-0.1712701812228994,1.2364322493434372,0.4815241745541877
