seed,setting,rmse,mae,r2,spearman,pearson
0,Correct site,0.8289176837098806,0.49933662099160075,0.47357167566863545,0.7466674461036582,0.6898265332131523
0,Wrong site,0.9240787092161737,0.6303071209823642,0.34576410650294664,0.6486440409867902,0.6050073349851337
0,Coarse position,0.9196269269987466,0.6380008901541426,0.3520525321822777,0.6609340976616516,0.6170375895225513
1,Correct site,0.8643080236696604,0.5148049194583731,0.42766075236587553,0.729479288984215,0.6627576500736585
1,Wrong site,1.0320610403609403,0.7186693600137173,0.18393038697505504,0.5867240551833274,0.5501470896294637
1,Coarse position,0.9916895964904503,0.7049276168550846,0.2465265509191683,0.6238237401939378,0.5831192544595803
2,Correct site,0.8312781300158684,0.49965670965262576,0.4705692664901565,0.7418499958135271,0.6866442743401849
2,Wrong site,0.9122288333371708,0.6277806147003363,0.3624356441805724,0.6490862824535887,0.6183547599229028
2,Coarse position,0.9091913615063588,0.6358723163600858,0.36667440435577847,0.6606474273590142,0.6296594600973742
3,Correct site,0.8427260631343075,0.5073413885624785,0.4558867646536717,0.7373692217255936,0.677613225008544
3,Wrong site,1.0282032474574163,0.7164051605635344,0.19001983998199679,0.5875505883447502,0.5508753446406474
3,Coarse position,1.0308722970210766,0.7493453842860177,0.18580922668149513,0.6065344580560886,0.5752296826455839
4,Correct site,0.8725585622729028,0.5151207008553357,0.41668169132388067,0.7358454276836136,0.6558656737602163
4,Wrong site,1.0496781595943956,0.7218839695473709,0.15583224175666466,0.5971183595587939,0.5397549518901716
4,Coarse position,1.044449219702093,0.7440973388326303,0.16422168583130248,0.614724813953591,0.5578443492067368
